design,metric,delta,golden,test
byu/stopwatch,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/tx,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/uart,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/uart_debouncer,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/uart_rx,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/uart_ssc,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
byu/uart_tx,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/ID_stage,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/IF_stage,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/MEM_stage,clocks.fixed_clk_gen.wpws,0.0,3.75,3.75
ooc/a25_decode,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/a25_wishbone,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/aes128,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/basicrsa,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/bubblesort,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/control_unit,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/data_path,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/hight,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/jpegencode,clocks.fixed_clk_gen.wpws,0.0,3.75,3.75
ooc/median,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/mips_16,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/natalius_processor,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/pci_mini,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/quadratic_func,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/random_pulse_generator,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/simon_core,clocks.fixed_clk_gen.wpws,0.0,4.02,4.02
vtr_benchmarks/mkPktMerge,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
vtr_benchmarks/mkSMAdapter4B,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
vtr_benchmarks/raygentop,clocks.fixed_clk_gen.wpws,0.0,4.02,4.02
vtr_benchmarks/stereovision2,clocks.fixed_clk_gen.wpws,0.0,4.5,4.5
ooc/bcd_adder,clocks.fixed_clk_i_gen.tns,0.0,0.0,0.0
vtr_benchmarks/sha,clocks.fixed_clk_i_gen.tns,0.0,0.0,0.0
ooc/bcd_adder,clocks.fixed_clk_i_gen.tns_endpoints,0.0,17.0,17.0
vtr_benchmarks/sha,clocks.fixed_clk_i_gen.tns_endpoints,0.0,1787.0,1787.0
ooc/bcd_adder,clocks.fixed_clk_i_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/sha,clocks.fixed_clk_i_gen.tns_fail,0.0,0.0,0.0
ooc/bcd_adder,clocks.fixed_clk_i_gen.tpws,0.0,0.0,0.0
vtr_benchmarks/sha,clocks.fixed_clk_i_gen.tpws,0.0,0.0,0.0
ooc/bcd_adder,clocks.fixed_clk_i_gen.wns,0.0,6.619,6.619
vtr_benchmarks/sha,clocks.fixed_clk_i_gen.wns,0.0,1.718,1.718
ooc/bcd_adder,clocks.fixed_clk_i_gen.wpws,0.0,4.5,4.5
vtr_benchmarks/sha,clocks.fixed_clk_i_gen.wpws,0.0,4.5,4.5
ooc/cpu8080,clocks.fixed_clock_gen.tns,0.0,0.0,0.0
ooc/tiny_encryption_algorithm,clocks.fixed_clock_gen.tns,0.0,0.0,0.0
ooc/cpu8080,clocks.fixed_clock_gen.tns_endpoints,0.0,452.0,452.0
ooc/tiny_encryption_algorithm,clocks.fixed_clock_gen.tns_endpoints,0.0,335.0,335.0
